Status_checking,Duration,Credit_history,Purpose,Credit_amount,Savings,Employment,Installment_rate,Personal_status,Other_debtors,Residence_since,Property,Age,Other_installment_plans,Housing,Number_existing_credits,Job,Number_people_liable,Telephone,Foreign_worker
No checking account,24,Existing credits paid back duly till now,Radio / television,2397,500 <= savings < 1000 DM,>= 7 years,3,Male: single,,2,Car or other (not savings),35,Bank,Own,2,Skilled,1,"Yes, registered",Yes
No checking account,9,Existing credits paid back duly till now,Car (new),2507,500 <= savings < 1000 DM,>= 7 years,2,Male: single,,4,Unknown / no property,51,,For free,1,Unskilled non-resident,1,,Yes
No checking account,30,Critical account / other credits existing,Radio / television,2831,< 100 DM,1 <= employment < 4 years,4,Female: divorced/separated/married,,2,Car or other (not savings),33,,Own,1,Skilled,1,"Yes, registered",Yes
No checking account,15,Delay in paying off in the past,Car (used),3594,< 100 DM,< 1 year,1,Female: divorced/separated/married,,2,Building society savings / life insurance,46,,Own,2,Unskilled non-resident,1,,Yes
No checking account,12,Existing credits paid back duly till now,Furniture / equipment,763,< 100 DM,1 <= employment < 4 years,4,Female: divorced/separated/married,,1,Real estate,26,,Own,1,Skilled,1,"Yes, registered",Yes
< 0 DM,48,Existing credits paid back duly till now,Education,7476,< 100 DM,4 <= employment < 7 years,4,Male: single,,1,Unknown / no property,50,,For free,1,Highly skilled,1,"Yes, registered",Yes
< 0 DM,24,Existing credits paid back duly till now,Car (new),915,Unknown / no savings,>= 7 years,4,Female: divorced/separated/married,,2,Car or other (not savings),29,Bank,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,12,Existing credits paid back duly till now,Furniture / equipment,951,100 <= savings < 500 DM,< 1 year,4,Female: divorced/separated/married,,4,Car or other (not savings),27,Bank,Rent,4,Skilled,1,,Yes
< 0 DM,18,Existing credits paid back duly till now,Radio / television,1936,Unknown / no savings,4 <= employment < 7 years,2,Male: married/widowed,,4,Car or other (not savings),23,,Rent,2,Unskilled non-resident,1,,Yes
0 <= balance < 200 DM,24,No credits taken / all credits paid back duly,Business,4241,< 100 DM,1 <= employment < 4 years,1,Male: single,,4,Real estate,36,,Own,3,Unskilled non-resident,1,"Yes, registered",Yes
No checking account,21,Critical account / other credits existing,Car (new),12680,Unknown / no savings,>= 7 years,4,Male: single,,4,Unknown / no property,30,,For free,1,Highly skilled,1,"Yes, registered",Yes
< 0 DM,15,Critical account / other credits existing,Furniture / equipment,975,< 100 DM,1 <= employment < 4 years,2,Male: divorced/separated,,3,Building society savings / life insurance,25,,Own,2,Skilled,1,,Yes
No checking account,6,Existing credits paid back duly till now,Domestic appliances,1338,500 <= savings < 1000 DM,1 <= employment < 4 years,1,Male: divorced/separated,,4,Real estate,62,,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,12,Existing credits paid back duly till now,Radio / television,2930,< 100 DM,4 <= employment < 7 years,2,Female: divorced/separated/married,,1,Real estate,27,,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,30,Critical account / other credits existing,Car (new),2181,Unknown / no savings,>= 7 years,4,Male: single,,4,Real estate,36,,Own,2,Skilled,1,,Yes
0 <= balance < 200 DM,12,Existing credits paid back duly till now,Business,1037,100 <= savings < 500 DM,4 <= employment < 7 years,3,Male: single,,4,Real estate,39,,Own,1,Unskilled non-resident,1,,Yes
0 <= balance < 200 DM,30,Existing credits paid back duly till now,Car (new),2150,< 100 DM,1 <= employment < 4 years,4,Female: divorced/separated/married,Guarantor,2,Unknown / no property,24,Bank,Own,1,Skilled,1,,Yes
No checking account,18,Existing credits paid back duly till now,Furniture / equipment,1533,< 100 DM,< 1 year,4,Male: married/widowed,Co-applicant,1,Building society savings / life insurance,43,,Own,1,Unskilled non-resident,2,,Yes
< 0 DM,36,Delay in paying off in the past,Business,2145,< 100 DM,4 <= employment < 7 years,2,Male: single,,1,Car or other (not savings),24,,Own,2,Skilled,1,"Yes, registered",Yes
No checking account,6,Critical account / other credits existing,Furniture / equipment,1221,Unknown / no savings,1 <= employment < 4 years,1,Male: married/widowed,,2,Building society savings / life insurance,27,,Own,2,Skilled,1,,Yes
0 <= balance < 200 DM,15,Existing credits paid back duly till now,Repairs,2631,100 <= savings < 500 DM,1 <= employment < 4 years,3,Female: divorced/separated/married,,2,Real estate,25,,Own,1,Unskilled non-resident,1,,Yes
No checking account,24,Critical account / other credits existing,Car (used),2197,Unknown / no savings,4 <= employment < 7 years,4,Male: single,,4,Car or other (not savings),43,,Own,2,Skilled,2,"Yes, registered",Yes
No checking account,24,Existing credits paid back duly till now,Car (used),2670,< 100 DM,>= 7 years,4,Male: single,,4,Car or other (not savings),35,,Own,1,Highly skilled,1,"Yes, registered",Yes
No checking account,24,Delay in paying off in the past,Business,8648,< 100 DM,< 1 year,2,Male: single,,2,Car or other (not savings),27,Bank,Own,2,Skilled,1,"Yes, registered",Yes
>= 200 DM / salary assigned >= 1 year,12,All credits at this bank paid back duly,Business,609,< 100 DM,< 1 year,4,Female: divorced/separated/married,,1,Real estate,26,,Own,1,Unemployed / unskilled resident,1,,Yes
< 0 DM,36,Existing credits paid back duly till now,Car (used),5493,< 100 DM,>= 7 years,2,Male: single,,4,Unknown / no property,42,,For free,1,Skilled,2,,Yes
No checking account,24,Existing credits paid back duly till now,Furniture / equipment,5511,100 <= savings < 500 DM,1 <= employment < 4 years,4,Male: single,,1,Car or other (not savings),25,Stores,Own,1,Skilled,1,,Yes
< 0 DM,24,Existing credits paid back duly till now,Radio / television,2384,< 100 DM,>= 7 years,4,Male: single,,4,Real estate,64,Bank,Rent,1,Unskilled non-resident,1,,Yes
0 <= balance < 200 DM,12,Existing credits paid back duly till now,Repairs,639,< 100 DM,1 <= employment < 4 years,4,Male: single,,2,Car or other (not savings),30,,Own,1,Skilled,1,,Yes
< 0 DM,42,Critical account / other credits existing,Repairs,3394,< 100 DM,Unemployed,4,Male: single,Co-applicant,4,Car or other (not savings),65,,Own,2,Unemployed / unskilled resident,1,,Yes
< 0 DM,36,Critical account / other credits existing,Furniture / equipment,2348,< 100 DM,1 <= employment < 4 years,3,Male: married/widowed,,2,Building society savings / life insurance,46,,Own,2,Skilled,1,"Yes, registered",Yes
No checking account,12,Existing credits paid back duly till now,Radio / television,707,< 100 DM,1 <= employment < 4 years,4,Male: single,,2,Real estate,30,Bank,Own,2,Skilled,1,,Yes
No checking account,15,Existing credits paid back duly till now,Car (used),1300,Unknown / no savings,>= 7 years,4,Male: single,,4,Unknown / no property,45,Bank,For free,1,Skilled,2,,Yes
No checking account,18,Existing credits paid back duly till now,Car (new),2662,Unknown / no savings,4 <= employment < 7 years,4,Male: single,,3,Building society savings / life insurance,32,,Own,1,Skilled,1,,No
No checking account,12,Critical account / other credits existing,Radio / television,976,Unknown / no savings,>= 7 years,4,Male: single,,4,Car or other (not savings),35,,Own,2,Skilled,1,,Yes
0 <= balance < 200 DM,15,Existing credits paid back duly till now,Repairs,1308,< 100 DM,>= 7 years,4,Male: single,,4,Car or other (not savings),38,,Own,2,Unskilled non-resident,1,,Yes
>= 200 DM / salary assigned >= 1 year,12,Existing credits paid back duly till now,Furniture / equipment,1474,< 100 DM,< 1 year,4,Female: divorced/separated/married,,1,Building society savings / life insurance,33,Bank,Own,1,Highly skilled,1,"Yes, registered",Yes
No checking account,12,Existing credits paid back duly till now,Radio / television,1262,< 100 DM,1 <= employment < 4 years,3,Male: single,,2,Car or other (not savings),25,,Own,1,Skilled,1,,Yes
No checking account,48,Critical account / other credits existing,Car (used),2751,Unknown / no savings,>= 7 years,4,Male: single,,3,Car or other (not savings),38,,Own,2,Skilled,2,"Yes, registered",Yes
No checking account,24,Existing credits paid back duly till now,Retraining,937,< 100 DM,< 1 year,4,Male: married/widowed,,3,Car or other (not savings),27,,Own,2,Unskilled non-resident,1,,Yes
No checking account,18,Critical account / other credits existing,Furniture / equipment,3780,< 100 DM,< 1 year,3,Male: divorced/separated,,2,Car or other (not savings),35,,Own,2,Highly skilled,1,"Yes, registered",Yes
No checking account,24,Critical account / other credits existing,Radio / television,2684,< 100 DM,1 <= employment < 4 years,4,Male: single,,2,Real estate,35,,Own,2,Unskilled non-resident,1,,Yes
No checking account,10,Existing credits paid back duly till now,Education,727,500 <= savings < 1000 DM,>= 7 years,4,Male: single,,4,Unknown / no property,46,,For free,1,Skilled,1,"Yes, registered",Yes
< 0 DM,6,Critical account / other credits existing,Car (new),1361,< 100 DM,< 1 year,2,Male: single,,4,Real estate,40,,Own,1,Unskilled non-resident,2,,No
No checking account,9,Existing credits paid back duly till now,Domestic appliances,1236,< 100 DM,< 1 year,1,Female: divorced/separated/married,,4,Real estate,23,,Rent,1,Skilled,1,"Yes, registered",Yes
>= 200 DM / salary assigned >= 1 year,12,Critical account / other credits existing,Car (new),1480,500 <= savings < 1000 DM,Unemployed,2,Male: single,,4,Unknown / no property,66,Bank,For free,3,Unemployed / unskilled resident,1,,Yes
No checking account,24,Delay in paying off in the past,Furniture / equipment,4151,100 <= savings < 500 DM,1 <= employment < 4 years,2,Male: single,,3,Building society savings / life insurance,35,,Own,2,Skilled,1,,Yes
0 <= balance < 200 DM,15,All credits at this bank paid back duly,Car (new),1264,100 <= savings < 500 DM,1 <= employment < 4 years,2,Male: married/widowed,,2,Building society savings / life insurance,25,,Rent,1,Skilled,1,,Yes
No checking account,36,Delay in paying off in the past,Business,7980,Unknown / no savings,< 1 year,4,Male: single,,4,Car or other (not savings),27,,Rent,2,Skilled,1,"Yes, registered",Yes
No checking account,21,Existing credits paid back duly till now,Car (used),5248,Unknown / no savings,1 <= employment < 4 years,1,Male: single,,3,Car or other (not savings),26,,Own,1,Skilled,1,,Yes
No checking account,18,Critical account / other credits existing,Radio / television,629,500 <= savings < 1000 DM,>= 7 years,4,Male: single,,3,Building society savings / life insurance,32,Bank,Own,2,Highly skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,12,Existing credits paid back duly till now,Car (used),2028,Unknown / no savings,1 <= employment < 4 years,4,Male: single,,2,Car or other (not savings),30,,Own,1,Skilled,1,,Yes
No checking account,24,Existing credits paid back duly till now,Car (new),1249,< 100 DM,< 1 year,4,Male: married/widowed,,2,Real estate,28,,Own,1,Skilled,1,,Yes
No checking account,24,Existing credits paid back duly till now,Radio / television,1533,< 100 DM,< 1 year,4,Female: divorced/separated/married,,3,Car or other (not savings),38,Stores,Own,1,Skilled,1,"Yes, registered",Yes
No checking account,15,Existing credits paid back duly till now,Education,4623,100 <= savings < 500 DM,1 <= employment < 4 years,3,Male: single,,2,Building society savings / life insurance,40,,Own,1,Highly skilled,1,"Yes, registered",Yes
>= 200 DM / salary assigned >= 1 year,10,Existing credits paid back duly till now,Car (new),3949,< 100 DM,< 1 year,1,Male: single,Guarantor,1,Building society savings / life insurance,37,,Own,1,Unskilled non-resident,2,,Yes
< 0 DM,24,Critical account / other credits existing,Business,1382,100 <= savings < 500 DM,4 <= employment < 7 years,4,Male: single,,1,Real estate,26,,Own,2,Skilled,1,"Yes, registered",Yes
No checking account,24,Critical account / other credits existing,Car (new),1940,>= 1000 DM,>= 7 years,4,Male: single,,4,Real estate,60,,Own,1,Skilled,1,"Yes, registered",Yes
< 0 DM,12,No credits taken / all credits paid back duly,Repairs,1108,< 100 DM,4 <= employment < 7 years,4,Male: single,,3,Real estate,28,,Own,2,Skilled,1,,Yes
No checking account,24,Existing credits paid back duly till now,Furniture / equipment,3972,< 100 DM,4 <= employment < 7 years,2,Female: divorced/separated/married,,4,Building society savings / life insurance,25,,Rent,1,Skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,18,Critical account / other credits existing,Furniture / equipment,6361,< 100 DM,>= 7 years,2,Male: single,,1,Unknown / no property,41,,Own,1,Skilled,1,"Yes, registered",Yes
No checking account,15,Existing credits paid back duly till now,Car (new),3186,>= 1000 DM,4 <= employment < 7 years,2,Female: divorced/separated/married,,3,Car or other (not savings),20,,Rent,1,Skilled,1,,Yes
< 0 DM,12,All credits at this bank paid back duly,Car (new),697,< 100 DM,< 1 year,4,Male: single,,2,Car or other (not savings),46,Bank,Own,2,Skilled,1,"Yes, registered",Yes
No checking account,6,Critical account / other credits existing,Radio / television,700,Unknown / no savings,>= 7 years,4,Male: single,,4,Unknown / no property,36,,For free,2,Skilled,1,,Yes
No checking account,10,Existing credits paid back duly till now,Furniture / equipment,2210,< 100 DM,1 <= employment < 4 years,2,Male: single,,2,Real estate,25,Bank,Rent,1,Unskilled non-resident,1,,Yes
< 0 DM,21,Existing credits paid back duly till now,Radio / television,1835,< 100 DM,1 <= employment < 4 years,3,Female: divorced/separated/married,,2,Real estate,25,,Own,2,Skilled,1,"Yes, registered",Yes
< 0 DM,18,Existing credits paid back duly till now,Furniture / equipment,2462,< 100 DM,1 <= employment < 4 years,2,Male: single,,2,Car or other (not savings),22,,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,18,Existing credits paid back duly till now,Radio / television,3213,500 <= savings < 1000 DM,< 1 year,1,Male: married/widowed,,3,Real estate,25,,Rent,1,Skilled,1,,Yes
< 0 DM,42,Existing credits paid back duly till now,Radio / television,3965,< 100 DM,< 1 year,4,Male: single,,3,Car or other (not savings),34,,Own,1,Skilled,1,,Yes
< 0 DM,24,Existing credits paid back duly till now,Car (new),1381,Unknown / no savings,1 <= employment < 4 years,4,Female: divorced/separated/married,,2,Building society savings / life insurance,35,,Own,1,Skilled,1,,Yes
< 0 DM,18,Existing credits paid back duly till now,Car (used),7511,Unknown / no savings,>= 7 years,1,Male: single,,4,Building society savings / life insurance,51,,For free,1,Skilled,2,"Yes, registered",Yes
No checking account,24,Existing credits paid back duly till now,Radio / television,3181,< 100 DM,< 1 year,4,Female: divorced/separated/married,,4,Building society savings / life insurance,26,,Own,1,Skilled,1,"Yes, registered",Yes
< 0 DM,15,Existing credits paid back duly till now,Furniture / equipment,1845,< 100 DM,< 1 year,4,Female: divorced/separated/married,Guarantor,1,Building society savings / life insurance,46,,Rent,1,Skilled,1,,Yes
< 0 DM,24,Existing credits paid back duly till now,Others,1755,< 100 DM,>= 7 years,4,Female: divorced/separated/married,Guarantor,4,Real estate,58,,Own,1,Unskilled non-resident,1,"Yes, registered",Yes
No checking account,12,Existing credits paid back duly till now,Car (new),3527,Unknown / no savings,< 1 year,2,Male: single,,3,Building society savings / life insurance,45,,Own,1,Highly skilled,2,"Yes, registered",Yes
< 0 DM,10,Critical account / other credits existing,Furniture / equipment,2132,Unknown / no savings,< 1 year,2,Female: divorced/separated/married,Co-applicant,3,Real estate,27,,Rent,2,Skilled,1,,No
< 0 DM,15,Existing credits paid back duly till now,Domestic appliances,1275,Unknown / no savings,1 <= employment < 4 years,4,Female: divorced/separated/married,,2,Car or other (not savings),24,,Rent,1,Skilled,1,,Yes
No checking account,15,Existing credits paid back duly till now,Radio / television,3568,< 100 DM,>= 7 years,4,Female: divorced/separated/married,,2,Car or other (not savings),54,Bank,Rent,1,Highly skilled,1,"Yes, registered",Yes
< 0 DM,11,Critical account / other credits existing,Car (new),3905,< 100 DM,1 <= employment < 4 years,2,Male: single,,2,Real estate,36,,Rent,2,Skilled,2,,Yes
< 0 DM,20,Critical account / other credits existing,Furniture / equipment,4272,< 100 DM,>= 7 years,1,Female: divorced/separated/married,,4,Building society savings / life insurance,24,,Own,2,Skilled,1,,Yes
< 0 DM,9,Existing credits paid back duly till now,Radio / television,1364,< 100 DM,4 <= employment < 7 years,3,Male: single,,4,Real estate,59,,Own,1,Skilled,1,,Yes
>= 200 DM / salary assigned >= 1 year,24,Existing credits paid back duly till now,Furniture / equipment,2892,< 100 DM,>= 7 years,3,Male: divorced/separated,,4,Unknown / no property,51,,For free,1,Skilled,1,,Yes
< 0 DM,24,Existing credits paid back duly till now,Furniture / equipment,1747,< 100 DM,< 1 year,4,Male: single,Co-applicant,1,Building society savings / life insurance,24,,Own,1,Unskilled non-resident,1,,No
No checking account,12,Existing credits paid back duly till now,Radio / television,1963,< 100 DM,4 <= employment < 7 years,4,Male: single,,2,Car or other (not savings),31,,Rent,2,Highly skilled,2,"Yes, registered",Yes
0 <= balance < 200 DM,48,No credits taken / all credits paid back duly,Others,18424,< 100 DM,1 <= employment < 4 years,1,Female: divorced/separated/married,,2,Building society savings / life insurance,32,Bank,Own,1,Highly skilled,1,"Yes, registered",No
0 <= balance < 200 DM,60,Existing credits paid back duly till now,Education,6288,< 100 DM,1 <= employment < 4 years,4,Male: single,,4,Unknown / no property,42,,For free,1,Skilled,1,,Yes
0 <= balance < 200 DM,30,Critical account / other credits existing,Furniture / equipment,8386,< 100 DM,4 <= employment < 7 years,2,Male: single,,2,Building society savings / life insurance,49,,Own,1,Skilled,1,,Yes
No checking account,36,Delay in paying off in the past,Car (used),8947,Unknown / no savings,4 <= employment < 7 years,3,Male: single,,2,Car or other (not savings),31,Stores,Own,1,Highly skilled,2,"Yes, registered",Yes
0 <= balance < 200 DM,12,Existing credits paid back duly till now,Business,841,100 <= savings < 500 DM,4 <= employment < 7 years,2,Female: divorced/separated/married,,4,Real estate,23,,Rent,1,Unskilled non-resident,1,,Yes
No checking account,12,Critical account / other credits existing,Car (new),1495,< 100 DM,>= 7 years,4,Male: single,,1,Real estate,38,,Own,2,Unskilled non-resident,2,,Yes
No checking account,60,Critical account / other credits existing,Car (new),13756,Unknown / no savings,>= 7 years,2,Male: single,,4,Unknown / no property,63,Bank,For free,1,Highly skilled,1,"Yes, registered",Yes
No checking account,18,Critical account / other credits existing,Radio / television,1169,Unknown / no savings,1 <= employment < 4 years,4,Male: single,,3,Building society savings / life insurance,29,,Own,2,Skilled,1,"Yes, registered",Yes
No checking account,24,Existing credits paid back duly till now,Radio / television,3105,Unknown / no savings,< 1 year,4,Male: single,,2,Car or other (not savings),25,,Own,2,Skilled,1,,Yes
0 <= balance < 200 DM,9,Existing credits paid back duly till now,Radio / television,790,500 <= savings < 1000 DM,1 <= employment < 4 years,4,Female: divorced/separated/married,,3,Real estate,66,,Own,1,Unskilled non-resident,1,,Yes
0 <= balance < 200 DM,9,Existing credits paid back duly till now,Furniture / equipment,2030,Unknown / no savings,4 <= employment < 7 years,2,Male: single,,1,Car or other (not savings),24,,Own,1,Skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,6,Existing credits paid back duly till now,Radio / television,484,< 100 DM,4 <= employment < 7 years,3,Male: married/widowed,Guarantor,3,Real estate,28,Bank,Own,1,Unskilled non-resident,1,,Yes
No checking account,6,Critical account / other credits existing,Car (new),362,100 <= savings < 500 DM,1 <= employment < 4 years,4,Female: divorced/separated/married,,4,Car or other (not savings),52,,Own,2,Unskilled non-resident,1,,Yes
>= 200 DM / salary assigned >= 1 year,15,Critical account / other credits existing,Car (used),2360,500 <= savings < 1000 DM,1 <= employment < 4 years,2,Male: single,,2,Car or other (not savings),36,,Own,1,Skilled,1,"Yes, registered",Yes
< 0 DM,18,Existing credits paid back duly till now,Furniture / equipment,2659,>= 1000 DM,1 <= employment < 4 years,4,Male: single,,2,Car or other (not savings),28,,Own,1,Skilled,1,,Yes
No checking account,12,Critical account / other credits existing,Furniture / equipment,5801,Unknown / no savings,>= 7 years,2,Male: single,,4,Building society savings / life insurance,49,,Rent,1,Skilled,1,"Yes, registered",Yes
>= 200 DM / salary assigned >= 1 year,42,No credits taken / all credits paid back duly,Business,6289,< 100 DM,< 1 year,2,Male: divorced/separated,,1,Building society savings / life insurance,33,,Own,2,Skilled,1,,Yes
No checking account,9,Existing credits paid back duly till now,Car (new),3577,100 <= savings < 500 DM,1 <= employment < 4 years,1,Male: single,Guarantor,2,Real estate,26,,Rent,1,Skilled,2,,No
No checking account,6,Critical account / other credits existing,Car (new),250,>= 1000 DM,1 <= employment < 4 years,2,Female: divorced/separated/married,,2,Real estate,41,Bank,Own,2,Unskilled non-resident,1,,Yes
0 <= balance < 200 DM,9,Existing credits paid back duly till now,Furniture / equipment,959,< 100 DM,1 <= employment < 4 years,1,Female: divorced/separated/married,,2,Car or other (not savings),29,,Own,1,Skilled,1,,No
0 <= balance < 200 DM,30,Existing credits paid back duly till now,Radio / television,1715,Unknown / no savings,1 <= employment < 4 years,4,Female: divorced/separated/married,,1,Car or other (not savings),26,,Own,1,Skilled,1,,Yes
< 0 DM,6,Critical account / other credits existing,Radio / television,1169,Unknown / no savings,>= 7 years,4,Male: single,,4,Real estate,67,,Own,2,Skilled,1,"Yes, registered",Yes
No checking account,12,Delay in paying off in the past,Repairs,1555,>= 1000 DM,>= 7 years,4,Male: single,,4,Unknown / no property,55,,For free,2,Skilled,2,,Yes
No checking account,15,Critical account / other credits existing,Furniture / equipment,1520,Unknown / no savings,>= 7 years,4,Male: single,,4,Building society savings / life insurance,63,,Own,1,Skilled,1,,Yes
>= 200 DM / salary assigned >= 1 year,10,Existing credits paid back duly till now,Furniture / equipment,1275,< 100 DM,< 1 year,4,Female: divorced/separated/married,,2,Building society savings / life insurance,23,,Own,1,Skilled,1,,Yes
< 0 DM,24,Existing credits paid back duly till now,Furniture / equipment,3021,< 100 DM,1 <= employment < 4 years,2,Male: divorced/separated,,2,Real estate,24,,Rent,1,Unskilled non-resident,1,,Yes
No checking account,12,Existing credits paid back duly till now,Furniture / equipment,1574,< 100 DM,1 <= employment < 4 years,4,Male: single,,2,Real estate,50,,Own,1,Skilled,1,,Yes
No checking account,9,Existing credits paid back duly till now,Furniture / equipment,1313,< 100 DM,>= 7 years,1,Male: single,,4,Car or other (not savings),20,,Own,1,Skilled,1,,Yes
< 0 DM,21,Existing credits paid back duly till now,Radio / television,2606,< 100 DM,< 1 year,4,Female: divorced/separated/married,,4,Building society savings / life insurance,28,,Rent,1,Highly skilled,1,"Yes, registered",Yes
No checking account,24,Critical account / other credits existing,Business,4139,100 <= savings < 500 DM,1 <= employment < 4 years,3,Male: single,,3,Building society savings / life insurance,27,,Own,2,Unskilled non-resident,1,"Yes, registered",Yes
0 <= balance < 200 DM,12,Existing credits paid back duly till now,Car (new),2002,< 100 DM,4 <= employment < 7 years,3,Male: single,,4,Building society savings / life insurance,30,,Rent,1,Skilled,2,"Yes, registered",Yes
0 <= balance < 200 DM,42,All credits at this bank paid back duly,Car (used),9283,< 100 DM,Unemployed,1,Male: single,,2,Unknown / no property,55,Bank,For free,1,Highly skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,48,Existing credits paid back duly till now,Business,15672,< 100 DM,1 <= employment < 4 years,2,Male: single,,2,Car or other (not savings),23,,Own,1,Skilled,1,"Yes, registered",Yes
No checking account,24,Critical account / other credits existing,Education,1927,Unknown / no savings,1 <= employment < 4 years,3,Female: divorced/separated/married,,2,Car or other (not savings),33,,Own,2,Skilled,1,"Yes, registered",Yes
< 0 DM,18,All credits at this bank paid back duly,Car (new),1442,< 100 DM,4 <= employment < 7 years,4,Male: single,,4,Unknown / no property,32,,For free,2,Unskilled non-resident,2,,Yes
No checking account,4,Critical account / other credits existing,Car (new),1455,< 100 DM,4 <= employment < 7 years,2,Male: single,,1,Real estate,42,,Own,3,Unskilled non-resident,2,,Yes
No checking account,36,Critical account / other credits existing,Furniture / equipment,7127,< 100 DM,< 1 year,2,Female: divorced/separated/married,,4,Building society savings / life insurance,23,,Rent,2,Skilled,1,"Yes, registered",Yes
No checking account,9,Critical account / other credits existing,Car (new),1224,< 100 DM,1 <= employment < 4 years,3,Male: single,,1,Real estate,30,,Own,2,Skilled,1,,Yes
< 0 DM,15,No credits taken / all credits paid back duly,Car (new),950,< 100 DM,>= 7 years,4,Male: single,,3,Car or other (not savings),33,,Rent,2,Skilled,2,,Yes
0 <= balance < 200 DM,11,Existing credits paid back duly till now,Furniture / equipment,1577,>= 1000 DM,< 1 year,4,Female: divorced/separated/married,,1,Real estate,20,,Own,1,Skilled,1,,Yes
No checking account,15,Existing credits paid back duly till now,Car (new),3556,Unknown / no savings,1 <= employment < 4 years,3,Male: single,,2,Unknown / no property,29,,Own,1,Skilled,1,,Yes
No checking account,54,No credits taken / all credits paid back duly,Car (used),9436,Unknown / no savings,1 <= employment < 4 years,2,Male: single,,2,Building society savings / life insurance,39,,Own,1,Unskilled non-resident,2,,Yes
< 0 DM,24,All credits at this bank paid back duly,Others,1358,Unknown / no savings,>= 7 years,4,Male: single,,3,Car or other (not savings),40,Stores,Own,1,Highly skilled,1,"Yes, registered",Yes
No checking account,22,Existing credits paid back duly till now,Radio / television,2675,500 <= savings < 1000 DM,>= 7 years,3,Male: single,,4,Car or other (not savings),40,,Own,1,Skilled,1,,Yes
No checking account,24,Delay in paying off in the past,Car (new),2032,< 100 DM,>= 7 years,4,Male: single,,4,Unknown / no property,60,,For free,2,Skilled,1,"Yes, registered",Yes
No checking account,12,Critical account / other credits existing,Radio / television,797,Unknown / no savings,>= 7 years,4,Female: divorced/separated/married,,3,Building society savings / life insurance,33,Bank,Own,1,Unskilled non-resident,2,,Yes
No checking account,15,Critical account / other credits existing,Education,1532,100 <= savings < 500 DM,1 <= employment < 4 years,4,Female: divorced/separated/married,,3,Car or other (not savings),31,,Own,1,Skilled,1,,Yes
No checking account,15,Existing credits paid back duly till now,Car (used),3812,100 <= savings < 500 DM,< 1 year,1,Female: divorced/separated/married,,4,Car or other (not savings),23,,Own,1,Skilled,1,"Yes, registered",Yes
< 0 DM,15,Existing credits paid back duly till now,Radio / television,1053,< 100 DM,< 1 year,4,Male: married/widowed,,2,Real estate,27,,Own,1,Skilled,1,,No
